smiles,solvent,peakwavs_max
COc1cc(C(c(n2)c3nc4c2ncc(C5=CC(N(C)C)=CC=C5)c4)=O)c3cc1,CN(C)C=O,360
Cc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(NS(C)(=O)=O)cc5)c(C)n4)c3cc1,CN(C)C=O,366
COc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(C(O)=O)cc5)c(C)n4)c3cc1,CN(C)C=O,364
COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(NS(C)(=O)=O)cc5)c4C)=O)c3cc1,CN(C)C=O,372
COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(OC)c(OC)c5)c4)=O)c3cc1,CN(C)C=O,380
Cc1cc(C(c(n2)c3nc4c2nc(C)c(c5cc(OCCO6)c6cc5)c4)=O)c3cc1,CN(C)C=O,370
COc1cc(C(c(n2)c3nc4c2nc(C)c(c5ccc(OC)cc5OC)c4)=O)c3cc1,CN(C)C=O,366
Fc1cc(c2cc(N(C)C)ccc2)cc3c1ccc(n4)n3c5c4nc(Cl)cc5,CN(C)C=O,370
Fc1cc(c2c(OC)cc(OC)cc2)cc3c1ccc(n4)n3c5c4nc(Cl)cc5,CN(C)C=O,372
COc1cc(C(c(n2)c3nc4c2ncc(c5ccc(NC(C)=O)cc5)c4C)=O)c3cc1,CN(C)C=O,370
Cc1cc(C(c(n2)c3nc4c2nc(C)c(c5ccc(C(O)=O)cc5)c4)=O)c3cc1,CN(C)C=O,366
Cc1cc(c(n2)c(C3=O)nc4c2cc(c5ccc(OC)cc5OC)c(C)n4)c3cc1,CN(C)C=O,364
Fc1cc(N(C(C)C)C(C)C)cc2c1ccc(n3)n2c4c3nc(Cl)cc4,CN(C)C=O,358
c(cc1)nc2c1n(c3cc(c4ccc(NS(C)(=O)=O)cc4)cc(F)c3cc5)c5n2,CN(C)C=O,340
c(cc1)nc2c1n(c3cc(c4cc(COC5=O)c5cc4)cc(F)c3cc6)c6n2,CN(C)C=O,368
c(cc1)nc2c1n(c3cc(Nc4ccccc4C#N)cc(F)c3cc5)c5n2,CN(C)C=O,382
NC(=O)C1CCN(CC1)c1cc(F)c2ccc3nc4nc(Cl)ccc4n3c2c1,CN(C)C=O,340
OCc1cccc(c2cc(F)c3ccc4nc5c(cccn5)n4c3c2)c1,CN(C)C=O,344
c(cc1)nc2c1n(c3cc(c4c(OC)cc(OC)cc4)cc(F)c3cc5)c5n2,CN(C)C=O,346
c(cc1)nc2c1n(c3cc(c4ccc(C(O)=O)cc4)cc(F)c3cc5)c5n2,CN(C)C=O,352
c(cc1)nc2c1n(c3cc(c4cc(OCCO5)c5cc4)cc(F)c3cc6)c6n2,CN(C)C=O,342
c(cc1)nc2c1n(c3cc(c4ccc(NC(C)=O)cc4)cc(F)c3cc5)c5n2,CN(C)C=O,368
c(cc1)nc2c1n(c3cc(c4cc(OC)c(OC)cc4)cc(F)c3cc5)c5n2,CN(C)C=O,346
c(cc1)nc2c1n(c3cc(c4cc(N(C)C)ccc4)cc(F)c3cc5)c5n2,CN(C)C=O,362
[O-][N+](c(c(c1cc(CO)ccc1)c2)cc3c2n4c5cccnc5nc4cc3)=O,CN(C)C=O,364
COc1ccc(Nc2cc(F)c3ccc4nc5c(cccn5)n4c3c2)cc1,CN(C)C=O,368
O=S1(CCN(CC1)c2cc(F)c3ccc4nc5c(cccn5)n4c3c2)=O,CN(C)C=O,362
[O-][N+](c(c(c1ccc(OC)cc1OC)cc23)cc2ccc4n3c(ccc(Cl)n5)c5n4)=O,CN(C)C=O,372
[O-][N+](c(c(c1ccc(C(O)=O)cc1)cc23)cc2ccc4n3c(ccc(Cl)n5)c5n4)=O,CN(C)C=O,374
[O-][N+](c(c(c1ccc(C(O)=O)cc1)c2)cc3c2n4c5cccnc5nc4cc3)=O,CN(C)C=O,392
[O-][N+](c(c(N(c1ccccc1)c2ccccc2)c3)cc4c3n5c6cccnc6nc5cc4)=O,CN(C)C=O,370
Cc1cc2ccc(nc3c4ccc(Cl)n3)n4c2cc1,CN(C)C=O,340
Cc(c([N+]([O-])=O)cc1cc2)cc1n3c2nc4c3cccn4,CN(C)C=O,368
Clc1ccc2n3c4c(ccc3nc2n1)cc([N+]([O-])=O)c(Br)c4,CN(C)C=O,382
Cc1cc2ccc(nc3c4cccn3)n4c2cc1,CN(C)C=O,358
Clc1ccc2n3c4c(ccc3nc2n1)cc(C(O)=O)cc4,CN(C)C=O,380
O=C(O)c1cc2ccc(nc3c4cccn3)n4c2cc1,CN(C)C=O,368
Clc1ccc2n3c4c(ccc3nc2n1)cc([N+]([O-])=O)cc4,CN(C)C=O,370
[O-][N+](=O)c1ccc2c(ccc3nc4ncccc4n23)c1,CN(C)C=O,402
Clc1ccc2n3c4c(ccc3nc2n1)cc(C#N)cc4,CN(C)C=O,352
N#Cc1cc2ccc(nc3c4cccn3)n4c2cc1,CN(C)C=O,342
Clc1ccc2n3c4c(ccc3nc2n1)cc([N+]([O-])=O)c(C)c4,CN(C)C=O,350
Clc1ccc2n3c4c(ccc3nc2n1)c(F)cc(Br)c4,CN(C)C=O,350
Fc1cc(Br)cc(c1cc2)n3c2nc4c3cccn4,CN(C)C=O,364
O=C1c2cc(Br)ccc2-c2nc3cccnc3nc21,CN(C)C=O,370
COc1ccc2c(c1)-c1nc3cc(Cl)cnc3nc1C2=O,CN(C)C=O,366
COc1ccc2c(c1)-c1nc3c(C)c(Br)cnc3nc1C2=O,CN(C)C=O,368
COc1ccc2c(c1)-c1nc3cc(Br)cnc3nc1C2=O,CN(C)C=O,370
Cc1ccc2c(c1)-c1nc3cccnc3nc1C2=O,CN(C)C=O,382
O=C1c2ccc(Cl)cc2-c2nc3cccnc3nc21,CN(C)C=O,376
Cc1ccc2c(c1)C(=O)c1nc3ncccc3nc1-2,CN(C)C=O,384
O=C1c2cc(Cl)ccc2-c2nc3cccnc3nc21,CN(C)C=O,376
Cc1ccc2c(c1)-c1nc3cc(Br)c(C)nc3nc1C2=O,CN(C)C=O,396
COc1ccc2c(c1)C(=O)c1nc3ncc(Br)c(C)c3nc1-2,CN(C)C=O,402
COc1ccc2c(c1)C(=O)c1nc3ncc(Br)cc3nc1-2,CN(C)C=O,366
COc1ccc2c(c1)C(=O)c1nc3ncc(Cl)cc3nc1-2,CN(C)C=O,366
Cc1ccc2c(c1)C(=O)c1nc3nc(C)c(Br)cc3nc1-2,CN(C)C=O,392
Cc1nc2nc3c(nc2cc1Br)-c1cc(Cl)ccc1C3=O,CN(C)C=O,384
Cc1nc2nc3c(nc2cc1Br)-c1ccccc1C3=O,CN(C)C=O,386
COc1ccc2c(c1)-c1nc3cc(C(F)(F)F)cnc3nc1C2=O,CN(C)C=O,360
COc1ccc2c(c1)-c1nc3cc(Br)c(C)nc3nc1C2=O,CN(C)C=O,370
COc1ccc2c(c1)C(=O)c1nc3nc(C)c(Br)cc3nc1-2,CN(C)C=O,364
Cc1c(Br)cnc2nc3c(nc12)-c1cc(Br)ccc1C3=O,CN(C)C=O,388
O=C1c2ccc(Br)cc2-c2nc3cc(F)cnc3nc21,CN(C)C=O,380
O=C1c2ccc(Cl)cc2-c2nc3cc(F)cnc3nc21,CN(C)C=O,386
O=C1c2ccccc2-c2nc3cc(Br)cnc3nc21,CN(C)C=O,396
Cc1c(Br)cnc2nc3c(nc12)-c1ccccc1C3=O,CN(C)C=O,390
Cc1ccc2c(c1)-c1nc3cc(Br)cnc3nc1C2=O,CN(C)C=O,396
Cc1ccc2c(c1)-c1nc3cc(Cl)cnc3nc1C2=O,CN(C)C=O,382
Cc1ccc2c(c1)-c1nc3cc(F)cnc3nc1C2=O,CN(C)C=O,378
Cc1ccc2c(c1)-c1nc3cc(C(F)(F)F)cnc3nc1C2=O,CN(C)C=O,388
Cc1ccc2c(c1)C(=O)c1nc3ncc(Cl)cc3nc1-2,CN(C)C=O,386
O=C1c2ccccc2-c2nc3cccnc3nc21,CN(C)C=O,385
O=C1c2ccccc2-c2nc3cc(Cl)cnc3nc21,CN(C)C=O,390
O=C1c2ccccc2-c2nc3cc(C(F)(F)F)cnc3nc21,CN(C)C=O,388
